|       | symbol   | companyName                                                                                                                                                      | currency   | exchange                     | exchangeShortName   | country   | state                     |
|   110 | GDXJ     | VanEck Vectors Junior Gold Miners ETF                                                                                                                            | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   111 | AUY      | Yamana Gold Inc.                                                                                                                                                 | USD        | New York Stock Exchange      | NYSE                | CA        | ONTARIO                   |
|   112 | DBEF     | Xtrackers MSCI EAFE Hedged Equity ETF                                                                                                                            | USD        | New York Stock Exchange Arca | NYSE                | US        |                           |
|   113 | WMT      | Walmart Inc.                                                                                                                                                     | USD        | New York Stock Exchange      | NYSE                | US        | ARKANSAS                  |
|   114 | CLF      | Cleveland-Cliffs Inc.                                                                                                                                            | USD        | New York Stock Exchange      | NYSE                | US        | OHIO                      |
|   115 | MRK      | Merck & Co., Inc.                                                                                                                                                | USD        | New York Stock Exchange      | NYSE                | US        | NEW JERSEY                |
|   116 | MDLZ     | Mondelez International, Inc.                                                                                                                                     | USD        | Nasdaq Global Select         | NASDAQ              | US        | ILLINOIS                  |
|   117 | MGM      | MGM Resorts International                                                                                                                                        | USD        | New York Stock Exchange      | NYSE                | US        | NEVADA                    |
|   118 | GFI      | Gold Fields Limited                                                                                                                                              | USD        | New York Stock Exchange      | NYSE                | ZA        |                           |
|   119 | KGC      | Kinross Gold Corporation                                                                                                                                         | USD        | New York Stock Exchange      | NYSE                | CA        | ONTARIO                   |
|   120 | SCHW     | The Charles Schwab Corporation                                                                                                                                   | USD        | New York Stock Exchange      | NYSE                | US        | CALIFORNIA                |
|   121 | NBR      | Nabors Industries Ltd.                                                                                                                                           | USD        | New York Stock Exchange      | NYSE                | BM        |                           |
|   122 | NVDA     | NVIDIA Corporation                                                                                                                                               | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|   123 | JNJ      | Johnson & Johnson                                                                                                                                                | USD        | New York Stock Exchange      | NYSE                | US        | NEW JERSEY                |
|   124 | WDC      | Western Digital Corporation                                                                                                                                      | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|   125 | BSX      | Boston Scientific Corporation                                                                                                                                    | USD        | New York Stock Exchange      | NYSE                | US        | MASSACHUSETTS             |
|   126 | ON       | ON Semiconductor Corporation                                                                                                                                     | USD        | Nasdaq Global Select         | NASDAQ              | US        | ARIZONA                   |
|   127 | ITUB     | Itaú Unibanco Holding S.A.                                                                                                                                       | USD        | New York Stock Exchange      | NYSE                | BR        | SP                        |
|   128 | BK       | The Bank of New York Mellon Corporation                                                                                                                          | USD        | New York Stock Exchange      | NYSE                | US        | NEW YORK                  |
|   129 | HMY      | Harmony Gold Mining Company Limited                                                                                                                              | USD        | New York Stock Exchange      | NYSE                | ZA        |                           |
|   130 | APA      | APA Corporation                                                                                                                                                  | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|   131 | HOME     | At Home Group Inc.                                                                                                                                               | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|   132 | NGD      | New Gold Inc.                                                                                                                                                    | USD        | NYSE American                | AMEX                | CA        | ONTARIO                   |
|   133 | KOS      | Kosmos Energy Ltd.                                                                                                                                               | USD        | New York Stock Exchange      | NYSE                | US        | TEXAS                     |
|   134 | DAL      | Delta Air Lines, Inc.                                                                                                                                            | USD        | New York Stock Exchange      | NYSE                | US        | GEORGIA                   |
|   135 | INFY     | Infosys Limited                                                                                                                                                  | USD        | New York Stock Exchange      | NYSE                | IN        |                           |
|   136 | CCL      | Carnival Corporation & plc                                                                                                                                       | USD        | New York Stock Exchange      | NYSE                | US        | FLORIDA                   |
|   137 | MFGP     | Micro Focus International plc                                                                                                                                    | USD        | New York Stock Exchange      | NYSE                | GB        |                           |
|   138 | PBR      | Petróleo Brasileiro S.A. - Petrobras                                                                                                                             | USD        | New York Stock Exchange      | NYSE                | BR        | RJ                        |
|   139 | DISCA    | Discovery, Inc.                                                                                                                                                  | USD        | Nasdaq Global Select         | NASDAQ              | US        | MARYLAND                  |
|   140 | LPI      | Laredo Petroleum, Inc.                                                                                                                                           | USD        | New York Stock Exchange      | NYSE                | US        | OKLAHOMA                  |
|   141 | ABT      | Abbott Laboratories                                                                                                                                              | USD        | New York Stock Exchange      | NYSE                | US        | ILLINOIS                  |
|   142 | FITB     | Fifth Third Bancorp                                                                                                                                              | USD        | Nasdaq Global Select         | NASDAQ              | US        | OHIO                      |
|   143 | PTEN     | Patterson-UTI Energy, Inc.                                                                                                                                       | USD        | Nasdaq Global Select         | NASDAQ              | US        | TEXAS                     |
|   144 | USB      | U.S. Bancorp                                                                                                                                                     | USD        | New York Stock Exchange      | NYSE                | US        | MINNESOTA                 |
|   145 | BA       | The Boeing Company                                                                                                                                               | USD        | New York Stock Exchange      | NYSE                | US        | ILLINOIS                  |
|   146 | GGB      | Gerdau S.A.                                                                                                                                                      | USD        | New York Stock Exchange      | NYSE                | BR        | SP                        |
|   147 | JBLU     | JetBlue Airways Corporation                                                                                                                                      | USD        | Nasdaq Global Select         | NASDAQ              | US        | NEW YORK                  |
|   148 | EBAY     | eBay Inc.                                                                                                                                                        | USD        | Nasdaq Global Select         | NASDAQ              | US        | CALIFORNIA                |
|   149 | HBAN     | Huntington Bancshares Incorporated                                                                                                                               | USD        | Nasdaq Global Select         | NASDAQ              | US        | OHIO                      |
|   150 | DB       | Deutsche Bank Aktiengesellschaft                                                                                                                                 | USD        | New York Stock Exchange      | NYSE                | DE        | HESSEN                    |
|   151 | MRVL     | Marvell Technology, Inc.                                                                                                                                         | USD        | Nasdaq Global Select         | NASDAQ              | BM        |                           |
|   152 | WBA      | Walgreens Boots Alliance, Inc.                                                                                                                                   | USD        | Nasdaq Global Select         | NASDAQ              | US        | ILLINOIS                  |
